1.　一	Nhất		Số 1				1 gạch ngang
6.醒		Tỉnh		Tỉnh cơn say		Uống rượu ngắm sao rất tỉnh
7.産		Sản			Sinh sản			Đứng trên sườn núi sinh sản

1.化		Hóa			Biến hóa			Người đứng cười hihi rồi biến hóa
2.花		Hoa			Bông hoa			Cô thảo biến hóa thành bông hoa
3.貨		Hóa			Hàng hóa			Biến hóa bảo bối thành hàng hóa
4.靴		Ngoa		Giầy dép			Biến hóa da thuộc thành giày dép

1.雨		Vũ			Mưa					Trời mưa 4 hạt
2.雷		Lôi			Sấm					Mưa xuống ruộng tạo ra sấm
3.電		Điện		Dòng điện			Sấm lòi ra dòng điện
4.雪		Tuyết		Bông tuyết			Em đi dưới trời mưa tuyết

1.車		Xa			Xe					2 ngày làm ra 1 chiếc xe
2.連		Liên		Liên lạc			Em liên là xước xe
3.運		Vận			Vận động			Em liên vận động trong màn đêm
4.軍		Quân		Quân đội			Xe đi trong đêm là xe quân đội
5.揮		Huy			Chỉ huy				Dùng tay chỉ huy quân đội
6.輝		Huy			Huy hoàng			Đăng quang trong quân đội rất huy hoàng
7.庫		Khố			Kho					Xe để dưới hiên nhà ở trong nhà kho
8.陣		Trận		Trận địa			Em bồ cưỡi xe ra trận địa
9.斬		Trảm		Chém				Dùng búa để chém đôi xe
10.暫	Tạm			Tạm thời			Tạm thời rảnh rỗ ngồi chém gió cả ngày
11.漸	Tiệm		Tiệm cận			Tiệm nước này chém giá cao
12.軸	Trục		Cái trục xe			Tự do quay quanh trục xe

1.舌		Thiệt		Cái lưỡi			Mồm có nghìn cái lưỡi
2.話		Thoại		Hội thoại			Lời nói qua cá lưỡi thành hội thoại
3.活		Hoạt		Sinh hoạt			Lưỡi phải có nước mới sinh hoạt được
4.括		Quát		Bao quát			Tay túm lưỡi là hết quát
5.乱		Loạn		Hỗn loạn			Lưỡi làm loạn

1.寺		Tự			Chùa				Động vào đất chùa thì rất thốn
2.時		Thời		Thời gian			Dành thời gian cả ngày ở chùa
3.持		Trì			Duy trì				Dùng tay để duy trì ngôi chùa
4.詩		Thi			Thi ca				Lời nói trên chùa là thi ca
5.侍		Thị			Người hầu			Người được chùa cưu mang là người hầu
6.待		Đãi			Đợi					2 người đợi nhau đi chùa
7.特		Đặc			Đặc biệt			Trâu ở trên chùa rất đặc biệt
8.等		Đẳng		Bình đẳng			Trúc lên chùa được đối xử bình đẳng

1.申		Thân		Gọi tên				Gọi tên em cả ngày
2.神		Thần		Thần thánh			Mang quả thị đến làm thân với thần
3.伸		Thân		Dãn ra				Thân người dãn ra
4.紳		Thân		Đàn ông				Thân mỏng manh như sợi tơ là đàn ông

1.氷		Băng		Đá					Nước thêm 1 phẩy ra đá
2.永		Vĩnh		Vĩnh cửu			Băng đá vĩnh cửu
3.泳		Vịnh		Bơi					Nước vĩnh cửu dùng để bơi
4.詠		Vịnh		Ngâm thơ			Lời nói vĩnh cửu là ngâm thơ

1.録		Lục			Kỷ lục				Em thủy đạt HCV là kỷ lục
2.緑		Lục			Xanh lá cây			Em thủy thích tơ màu xanh lá cây
3.剝		Bác			Bóc, gọt			Em thủy dùng đao để gọt
4.縁		Duyên		Duyên số			Em lợn dùng sợi tơ se duyên

1.豚		Đồn			Con lợn				Nghe đồn chị Nguyệt sắp bán lợn
2.家		Gia			Gia đình			Dưới mái nhà có gia đình lợn
3.嫁		Giá			Lấy chồng			Gia đình có con gái đi lấy chồng
4.稼		Giá			Kiếm tiền			Gia đình bán lúa gạo để kiếm tiền
5.逐		Trục		Trục xuất			Nuôi lợn dẫn tới bị trục xuất
6.塚		Trủng		Đống đất			Trong đêm lợn nằm trên đất thành đống
7.遂		Toại		Toại nguyện			Bắt được 8 con lợi dẫn tới toại nguyện
8.隊		Đội			Bộ đội				Bộ đội nuôi 8 con lợn
9.墜		Trụy		Rơi xuống			Bộ đội bị rơi xuống đất
10.豪	Hào			Hào hoa				Con lợn trong đêm mở mồm đầu tiên là của nhà phú hào
11.象	Tượng		Con voi				Móc cả ngày con lợi thành con voi
12.像	Tượng		Hình tượng			Người coi voi là hình tượng

1.毎		Mỗi			Mỗi ngày			Đừng chỉ nằm mỗi ngày như thế
2.海		Hải			Biển				Nước mỗi ngày chảy ra biển
3.悔		Hối			Hối hận				Tâm mỗi ngày đều cảm thấy hối hận
4.梅		Mai			Cây mơ				Cây mỗi ngày là cây mơ
5.侮		Vũ			Khinh thường		Người chồng mỗi ngày bị khinh thường
6.敏		Mẫn			Mẫn cảm				Mỗi ngày đều đánh phấn khiến da bị mẫn cảm
7.繫		Phồn		Phồn thịnh			Cần mẫn dệt tơ sẽ có ngày phồn thịnh
